mapa,semente,padrao,nivel,n_pivos,pivos_iguais,celulas_comparadas,celulas_diferentes,frac_diferentes,viraram_inalcancaveis,dist_max_aumento
brc000d,42,Organic,0.1,100,1,2738600,1964473,0.717327,571240,172
brc000d,42,Organic,0.2,10,1,273860,242007,0.883689,213411,106
brc000d,42,Organic,0.2,20,1,547720,482330,0.880614,417746,124
brc000d,42,Organic,0.2,50,1,1369300,1197333,0.874412,1011070,184
brc000d,42,Organic,0.2,100,1,2738600,2421054,0.884048,2085462,186
brc000d,42,Organic,0.3,10,1,273860,264621,0.966264,259523,74
brc000d,42,Organic,0.3,20,1,547720,525777,0.959938,507054,184
brc000d,42,Organic,0.3,50,1,1369300,1289905,0.942018,1224448,212
brc000d,42,Organic,0.3,100,1,2738600,2582294,0.942925,2448104,212
brc000d,42,Stochastic,0.1,10,1,273860,169515,0.618984,27999,54
brc000d,42,Stochastic,0.1,20,1,547720,336803,0.614918,80576,76
brc000d,42,Stochastic,0.1,50,1,1369300,819167,0.598238,213745,76
brc000d,42,Stochastic,0.1,100,1,2738600,1543785,0.563713,329148,78
brc000d,42,Stochastic,0.2,10,1,273860,239436,0.874301,78432,192
brc000d,42,Stochastic,0.2,20,1,547720,480427,0.87714,178576,168
brc000d,42,Stochastic,0.2,50,1,1369300,1199552,0.876033,457324,192
brc000d,42,Stochastic,0.2,100,1,2738600,2325641,0.849208,697534,192
brc000d,42,Stochastic,0.3,10,1,273860,271907,0.992869,185038,174
brc000d,42,Stochastic,0.3,20,1,547720,542287,0.990081,352600,182
brc000d,42,Stochastic,0.3,50,1,1369300,1353149,0.988205,784321,190
brc000d,42,Stochastic,0.3,100,1,2738600,2700991,0.986267,1285484,190
brc100d,42,Radial,0.1,10,1,310230,221197,0.71301,211770,98
brc100d,42,Radial,0.1,20,1,620460,432889,0.69769,417985,98
brc100d,42,Radial,0.1,50,1,1551150,1129048,0.727878,1075868,132
brc100d,42,Radial,0.1,100,1,3102300,2259976,0.728484,2142977,132
brc100d,42,Radial,0.2,10,1,310230,272501,0.878384,262213,98
brc100d,42,Radial,0.2,20,1,620460,546977,0.881567,529272,150
brc100d,42,Radial,0.2,50,1,1551150,1362749,0.878541,1296554,180
brc100d,42,Radial,0.2,100,1,3102300,2708601,0.873094,2564827,198
brc100d,42,Radial,0.3,10,1,310230,285064,0.91888,284522,96
brc100d,42,Radial,0.3,20,1,620460,566382,0.912842,562386,150
brc100d,42,Radial,0.3,50,1,1551150,1425687,0.919116,1410820,180
brc100d,42,Radial,0.3,100,1,3102300,2828619,0.911781,2792643,198
brc100d,42,Linear,0.1,10,1,310230,306934,0.989376,305837,80
brc100d,42,Linear,0.1,20,1,620460,613188,0.98828,612706,24
brc100d,42,Linear,0.1,50,1,1551150,1533457,0.988594,1531760,78
brc100d,42,Linear,0.1,100,1,3102300,3062114,0.987046,3056002,70
brc100d,42,Linear,0.2,10,1,310230,309316,0.997054,308737,30
brc100d,42,Linear,0.2,20,1,620460,618661,0.997101,618513,12
brc100d,42,Linear,0.2,50,1,1551150,1546713,0.99714,1546235,24
brc100d,42,Linear,0.2,100,1,3102300,3088771,0.995639,3087477,30
brc100d,42,Linear,0.3,10,1,310230,309662,0.998169,309658,4
brc100d,42,Linear,0.3,20,1,620460,619566,0.998559,619549,12
brc100d,42,Linear,0.3,50,1,1551150,1548783,0.998474,1548710,6
brc100d,42,Linear,0.3,100,1,3102300,3095854,0.997922,3095054,46
brc100d,42,Sparse,0.1,10,1,310230,229406,0.739471,219813,110
brc100d,42,Sparse,0.1,20,1,620460,433087,0.69801,413657,110
brc100d,42,Sparse,0.1,50,1,1551150,1152203,0.742806,1093347,136
brc100d,42,Sparse,0.1,100,1,3102300,2297283,0.74051,2181815,136
